id,filename,subject_id,lengthfile
0,deguchi_70per_1,1,deguchi_70per_1_length.csv
1,deguchi_70per_2,1,deguchi_70per_2_length.csv
2,deguchi_70per_3,1,deguchi_70per_3_length.csv
3,fukuman_70per_1,8,fukuman_70per_1_length.csv
4,fukuman_70per_2,8,fukuman_70per_2_length.csv
5,fukuman_70per_3,8,fukuman_70per_3_length.csv
6,hamada_40per_1,12,hamada_40per_1_length.csv
7,hamada_40per_2,12,hamada_40per_2_length.csv
8,hamada_40per_3,12,hamada_40per_3_length.csv
9,hamada_70per_1,2,hamada_70per_1_length.csv
10,hamada_70per_2,2,hamada_70per_2_length.csv
11,hamada_70per_3,2,hamada_70per_3_length.csv
12,honma_40per_1,11,honma_40per_1_length.csv
13,honma_40per_2,11,honma_40per_2_length.csv
14,honma_40per_3,11,honma_40per_3_length.csv
15,honma_40per_4,11,honma_40per_4_length.csv
16,honma_70per_1,3,honma_70per_1_length.csv
17,honma_70per_2,3,honma_70per_2_length.csv
18,honma_70per_3,3,honma_70per_3_length.csv
19,kikuchi_70per_1,4,kikuchi_70per_1_length.csv
20,kikuchi_70per_2,4,kikuchi_70per_2_length.csv
21,kikuchi_70per_3,4,kikuchi_70per_3_length.csv
22,motizuki_70per_1,5,motizuki_70per_1_length.csv
23,motizuki_70per_2,5,motizuki_70per_2_length.csv
24,motizuki_70per_3,5,motizuki_70per_3_length.csv
25,saito_aota_70per_1,7,saito_aota_70per_1_length.csv
26,saito_aota_70per_2,7,saito_aota_70per_2_length.csv
27,saito_aota_70per_3,7,saito_aota_70per_3_length.csv
28,saito_mika_70per_1,6,saito_mika_70per_1_length.csv
29,saito_mika_70per_2,6,saito_mika_70per_2_length.csv
30,saito_mika_70per_3,6,saito_mika_70per_3_length.csv
31,tobita_70per_1,9,tobita_70per_1_length.csv
32,tobita_70per_2,9,tobita_70per_2_length.csv
33,tobita_70per_3,9,tobita_70per_3_length.csv
34,toi_70per_1,10,toi_70per_1_length.csv
35,toi_70per_2,10,toi_70per_2_length.csv
36,toi_70per_3,10,toi_70per_3_length.csv
