num,velocity,waist,knee,right_angle,left_angle,time,peak_time,rest,fatigue,rest_time,rectus_femoris,vastus_lateralis,vastus_medialis,biceps_femoris,lac,RM
1,-0.0465,26.431,-10.575,,,,1.72,,,1.71,,,,,1.2,0.8
2,0.05,5.727,8.585,,,,1.08,,,1.696,,,,,2.8,0.8
3,-0.2431,147.439,-37.681,,,,1.67,,,1.704,,,,,3.9,0.8
4,-0.424,-28.137,2.365,,,,1.75,,,0.535,,,,,4.2,0.8
5,-0.0178,-94.217,-32.485,,,,1.71,,,0.656,,,,,5.6,0.8
6,-0.2722,-71.355,-30.856,,,,1.75,,,0.779,,,,,9.2,0.8
7,-0.9332,-23.431,-45.662,,,,1.88,,,0.633,,,,,3.4,0.8
8,-0.8081,-63.148,-48.913,,,,0.96,,,0.85,,,,,6.5,0.8
9,-0.744,-54.232,-54.948,,,,1.13,,,1.7,,,,,8.6,0.8
10,1.6051,72.523,-98.067,,,,0.72,,,2.039,,,,,0.9,0.8
11,-0.1227,57.733,33.416,,,,1.03,,,1.633,,,,,1.3,0.8
12,-0.008,-19.574,0.921,,,,1.09,,,2.258,,,,,1.5,0.8
13,0.2136,-121.225,-4.498,,,,1.06,,,0.69,,,,,3.4,0.8
14,-0.3812,-76.051,27.577,,,,1.28,,,0.558,,,,,5.1,0.8
15,-0.2572,-82.77,9.187,,,,1.3,,,0.8,,,,,4,0.8
16,-0.6955,30.48,32.653,,,,1.57,,,1.175,,,,,0.2,0.8
17,-0.2768,-11.502,22.288,,,,1.55,,,1.333,,,,,0.2,0.8
18,0.1978,-21.661,14.547,,,,1.11,,,0.867,,,,,0.1,0.8
19,0.1893,17.153,-35.719,,,,1.1,,,0.856,,,,,0.6,0.8
20,0.5022,-89.579,-75.769,,,,0.96,,,0.711,,,,,1.1,0.8
21,0.5747,50.532,-55.357,,,,0.98,,,0.772,,,,,1.6,0.8
22,-0.143,-0.285,-1.151,,,,1.35,,,1.725,,,,,5.3,0.8
23,-0.3385,129.513,95.92,,,,1.39,,,1.479,,,,,7.2,0.8
24,0.5601,188.122,92.242,,,,1.51,,,1.733,,,,,6.5,0.8
