num,velocity,waist,knee,right_angle,left_angle,time,peak_time,rest,fatigue,rest_time,rectus_femoris,vastus_lateralis,vastus_medialis,biceps_femoris,lac,,,
1,-0.2126,52.508,35.49,-0.126758775,-0.077335886,1.18,1.34,0,1,0,-0.4262,-0.272,-0.2211,0.0074,2.8,2,-17.964,-40.1976
2,-0.1115,115.69,44.806,-0.134490361,-0.048740174,1.27,1.36,1,1,0.189,-0.6639,-0.4069,-0.208,0.6004,6.7,2,-166.9043,-81.5305
3,-0.1167,-20.932,50.856,-0.139147285,-0.060504038,1.33,1.48,1,1,0.385,-1.0733,-1.721,-0.7529,0.0311,10.5,2,-78.6759,-16.1106
4,-0.2525,-116.465,0.996,-0.072898645,0.017060758,1.08,1.17,0,0,0.541,-1.6029,-0.6455,-0.5741,-0.1325,2.6,3,-142.4614,-50.9594
5,-0.2698,-167.958,-35.281,-0.11344023,-0.066183099,1.16,1.31,1,1,0.474,0.0195,-0.2602,-0.1412,0.3916,4.8,3,-58.3706,0.0327
6,-0.3342,-301.208,-41.183,-0.038229925,-0.033725972,1.42,1.58,1,1,1.326,-0.2581,0.1901,0.0213,-0.1101,7.4,3,-78.7529,-25.6348
7,-0.1807,23.669,13.864,-0.027609069,0.009352784,1.46,1.77,0,1,0.626,-0.6509,-1.4295,-1.3914,-0.7129,6.1,4,-101.6605,-41.3751
8,-0.2152,-8.513863716,-9.236410719,-0.008254985,0.00867729,1.52,1.7,1,2,1,-1.6036,-0.8893,-0.8021,-0.3706,8.5,4,-394.9612,-228.0669
9,0.0157,-21.688,59.915,-0.016801175,0.057050838,1.49,1.63,1,3,1.074,-1.2383,-1.4465,-0.6399,-0.2911,11,4,-89.6122,-20.6104
10,-0.1523,-16.216,-1.865,-0.140268204,-0.10772443,0.95,1.48,0,0,0.83,-0.7743,-0.0952,-0.4453,-0.2111,3.4,5,-63.7505,-9.2364
11,-0.0422,17.875,25.88,-0.083678706,-0.068548128,1.07,1.55,1,1,0.893,-0.6583,-0.8755,-0.3952,-0.2661,8.5,5,-88.2936,-14.6415
12,-0.1231,-5.24,3.61,-0.072774755,-0.126289316,1.2,1.71,1,2,0.841,-0.7577,-0.5193,-0.1864,-0.2741,9.1,5,-8.5235,37.9433
13,0.04,129.29,82.515,-0.078712372,-0.05613086,1.17,1.59,0,0,0.274,-1.715,-0.8131,-0.4504,-0.2832,4.7,6,-141.0828,-106.5496
14,0.021,-115.916,-29.563,-0.055426795,-0.084982593,1.43,1.83,1,1,0.333,-1.6339,-1.0427,0.2405,-0.2069,4.3,6,-57.9102,-25.8784
15,0.0743,-34.473,-15.892,-0.052622788,-0.075640744,1.34,1.85,1,3,0.43,-1.0992,-1.1165,-1.1777,-0.0286,8.5,6,-531.1309,-295.0697
16,-0.0739,-62.393,-39.68,,,,1.29,,,0.9,,,,,2.6,7,,
17,-0.1066,54.081,3.41,,,,1.29,,,0.73,,,,,5.9,7,,
18,-0.1166,-77.129,-128.171,,,,1.63,,,1.011,,,,,8.1,7,,
19,-0.0609,-4.625,16.453,-0.041128012,0.020027365,1.58,1.49,0,1,1.033,-0.9598,-0.5287,-0.9768,-0.1227,2.3,9,14.8737,36.2423
20,-0.0852,9.14,-2.307,-0.014264176,0.017911249,1.86,1.69,1,1,1.207,0.0013,-1.0365,-0.37,-0.7693,3.5,9,17.9536,-59.0985
21,-0.1092,42.021,30.201,-0.020449802,-0.006834613,1.63,1.71,1,2,2.122,-0.6864,-1.3061,0.2741,-0.1472,5.2,9,-66.5999,-34.5634
